,thing,hour,minute,x,y,z,diff_x,diff_y,diff_z,second,athlete,x_a,y_a,z_a,diff_x_a,diff_y_a,diff_z_a,second_a,likemike,likemike_comment
0,ill-fated-anger,17,25,61.0,1.8571428571428572,335.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,56.0,Mike,-47,75,386,-4,1,-1,60,133.33333333333331,OMG!!! You have outperformed Mike
1,ill-fated-anger,17,26,47.301886792452834,-21.943396226415093,94.9622641509434,-0.03773584905660377,-0.03773584905660377,-0.03773584905660377,26.0,Mike,-52,56,342,4,0,-2,54,,
2,ill-fated-anger,17,31,23.21212121212121,33.90909090909091,43.18181818181818,-1.4848484848484849,-1.4848484848484849,-1.4848484848484849,34.333333333333336,Mike,-42,90,182,-2,0,-1,59,,
3,ill-fated-anger,17,56,39.629629629629626,-2.3703703703703702,8.481481481481481,1.1851851851851851,1.1851851851851851,1.1851851851851851,46.03703703703704,Mike,-52,50,369,0,1,-1,58,118.5185185185185,OMG!!! You have outperformed Mike
4,ill-fated-anger,17,57,41.04545454545455,-4.545454545454546,9.136363636363637,0.3181818181818182,0.3181818181818182,0.3181818181818182,10.5,Mike,-51,71,131,1,1,-1,43,31.818181818181817,you are getting there
5,ill-fated-anger,18,8,6.6,-2.8,110.13333333333334,-3.2,-3.2,-3.2,52.0,Mike,-40,69,327,2,-1,2,59,320.0,OMG!!! You have outperformed Mike
6,ill-fated-anger,18,9,14.5,2.7,16.2,0.11666666666666667,0.11666666666666667,0.11666666666666667,29.5,Mike,-44,69,176,-2,0,2,36,,
7,ill-fated-anger,18,10,15.466666666666667,-14.183333333333334,233.91666666666666,-0.05,-0.05,-0.05,29.5,Mike,-60,49,184,-5,0,1,40,,
8,ill-fated-anger,18,11,-0.02857142857142857,-5.0285714285714285,322.9428571428571,0.08571428571428572,0.08571428571428572,0.08571428571428572,17.085714285714285,Mike,-58,55,243,2,-1,-1,46,8.571428571428571,try harder
9,ill-fated-anger,18,13,34.13333333333333,-27.7,174.56666666666666,0.0,0.0,0.0,44.5,Mike,-49,68,105,-3,1,2,37,0.0,try harder
10,ill-fated-anger,18,14,2.088235294117647,3.0,337.0,0.0,0.0,0.0,16.529411764705884,Mike,-44,76,356,-4,-1,1,46,0.0,try harder
11,ill-fated-anger,18,39,11.0,2.3333333333333335,335.6666666666667,7.0,7.0,7.0,46.333333333333336,Mike,-49,57,300,4,-1,-1,31,700.0,OMG!!! You have outperformed Mike
12,ill-fated-anger,21,4,25.214285714285715,-1.5,89.78571428571429,-0.9285714285714286,-0.9285714285714286,-0.9285714285714286,24.392857142857142,Mike,-41,62,213,2,1,-1,39,92.85714285714286,you rock like Mike
