,thing,hour,minute,x,y,z,diff_x,diff_y,diff_z,second
0,tight-respect,18,54,-24.043478260869566,85.6086956521739,293.4347826086956,-0.09090909090909091,-0.09090909090909091,-0.09090909090909091,48.26086956521739
1,tight-respect,18,55,2.8421052631578947,46.421052631578945,242.05263157894737,0.47368421052631576,0.47368421052631576,0.47368421052631576,9.052631578947368
2,tight-respect,19,5,-29.916666666666668,0.5416666666666666,90.33333333333333,-1.625,-1.625,-1.625,46.541666666666664
3,tight-respect,19,6,-2.5606060606060606,13.848484848484848,128.56060606060606,0.21212121212121213,0.21212121212121213,0.21212121212121213,29.606060606060606
4,tight-respect,19,7,-7.65,-24.233333333333334,104.7,0.43333333333333335,0.43333333333333335,0.43333333333333335,30.516666666666666
5,tight-respect,19,8,-47.6,20.266666666666666,112.48333333333333,-0.36666666666666664,-0.36666666666666664,-0.36666666666666664,30.35
6,tight-respect,19,9,-13.953488372093023,51.81395348837209,316.3720930232558,0.3023255813953488,0.3023255813953488,0.3023255813953488,23.13953488372093
7,tight-respect,19,10,-27.07894736842105,-0.07894736842105263,96.48684210526316,-0.5394736842105263,-0.5394736842105263,-0.5394736842105263,36.19736842105263
8,tight-respect,19,11,-23.363636363636363,23.386363636363637,90.0909090909091,0.022727272727272728,0.022727272727272728,0.022727272727272728,23.227272727272727
9,tight-respect,19,12,-36.58441558441559,-0.6493506493506493,34.33766233766234,-0.11688311688311688,-0.11688311688311688,-0.11688311688311688,26.0
10,tight-respect,19,13,-44.0,-3.8,49.8,1.8,1.8,1.8,6.6
